1||||852,03||806,32|821,23||776,46|788,15||767,29
2|748,74||818,32|863,81||796,46|816,29||770,59|785,04|771,92|760,16
3|754,16|799,11|817,45|861,89||782,86|803,98|757,06|771,45||769,17|755,34
4||790,92|809,81||837,92|769,13||761,34|773,71||758,53|752,03
5||781,78|812,19||838,74|775,58||767,98||790,81|757,16|
6|758,49|776,99|823,28|863,99|832,84||801,46|774,82||794,34|752,01|
7|771,82|779,12||853,91|839,08||798,79|777,18|773,76|797,35||747,61
8|773,12|||842,05|836,27|764,97|793,88||773,24|795,05||
9|766,83||828,95|851,90||769,26|786,18||776,65|797,25|759,25|744,82
10|764,69|788,80|841,06|||771,96|781,74|784,28|767,87||753,75|739,45
11||795,88|834,22||827,65|767,93||796,58|764,99||760,90|738,17
12||792,48|835,48||826,05|784,65||793,61|||757,42|
13|770,56|788,33|852,06|839,49|821,88||790,82|792,69||796,05|757,43|
14|777,66|795,12||844,57|820,38||788,22|793,32|768,34|797,66||733,55
15|772,29|||848,63|822,93|790,73|787,87||767,01|798,56||731,58
16|772,01||836,66|859,31||796,87|||760,01|801,91|766,70|734,23
17|773,36|792,73|850,51|852,52||779,10|787,50|796,73|761,54||767,86|735,09
18||791,95|855,09||823,86|798,53||803,40|||767,05|723,44
19||796,90|862,69||820,65|812,19||796,23||795,68|758,10|
20|771,38|797,40|867,83|849,45|819,08||787,26|784,25||788,27|758,62|
21|769,93|804,74||856,23|||786,04|785,84|764,34|786,66||723,85
22|770,50|||862,06|806,17|817,33|777,66||772,83|784,07||730,70
23|772,12||851,01|856,51||816,02|769,06||773,40|781,41|761,55|728,96
24|771,94|809,82|861,07|858,87||817,90|767,17|790,88|781,44||765,96|716,25
25||810,20|847,04||805,75|820,68||786,17|788,02||772,83|
26||807,96|843,96||803,74|813,25||784,44||777,72|771,68|
27|776,52|811,10|836,05|859,95|802,10||768,63|786,91||779,57|766,00|
28|787,86|816,26||856,76|816,47||768,81|784,27|787,15|772,05||710,26
29|788,13|||850,41|812,74||767,82||784,19|775,56||710,64
30|788,18||835,23|836,62||816,36|759,18||784,46|770,45|766,69|711,24
31|797,96||846,30||||754,45|779,92||||
Promedio|772,65|796,38|839,38|853,38|821,81|793,72|784,73|784,66|773,40|788,27|762,88|734,73
